Job Title,Company,Location,Posting Date,Extract Date,Salary,Summary,JobUrl
Data Science Trainee / Junior Data Analyst (2-Year Contract),Siemens Healthcare Pte Ltd,Central Singapore,PostedJust posted,2022-05-18,,"You will collect, analyze, and interpret data sets for healthcare applications on the analysis of:
Hospital workflow related predictive models or software to…",https://sg.indeed.com/rc/clk?jk=58072a5580006f04&fccid=ea6bb53f0b18b8f2&vjs=3
Data Science Trainee / Junior Data Analyst (2-Year Contract),Siemens Healthineers,Singapore,PostedJust posted,2022-05-18,,"You will collect, analyze, and interpret data sets for healthcare applications on the analysis of:
Hospital workflow related predictive models or software to…",https://sg.indeed.com/rc/clk?jk=b37b21ae39ccf424&fccid=c5679bf29a1db253&vjs=3
Junior Data Analyst,Binance,Singapore,Posted30+ days ago,2022-05-18,,"Analyze and interpret large (PB-scale) volumes of transactional, operational and customer data using proprietary and open source data tools, platforms and…",https://sg.indeed.com/rc/clk?jk=d0081cf0a0cb8779&fccid=ac2ee5578fa99fc9&vjs=3
Data Analyst,Grocery Logistics of Singapore Pte Ltd,Singapore,PostedToday,2022-05-18,,"End to end experience in developing data analytic project with WMS systems /SAP S/4 from data extraction, modelling to visualization is a strong plus.",https://sg.indeed.com/rc/clk?jk=8f6db2d23ccbfca4&fccid=7446ac349f9ab14c&vjs=3
Junior Business Analyst (Changi),Bhavyam infotech,Singapore,Hiring ongoing,2022-05-18,"$3,500 - $4,300 a month","Information could span from details of systems interfacing, content of the various data being posted, data held within the application etc.",https://sg.indeed.com/company/Bhavyam-Infotech/jobs/Junior-Business-Analyst-ca4253d2fdf01a17?fccid=16600ca778779fce&vjs=3
Data Analyst,99.co,Remote in Singapore,Posted6 days ago,2022-05-18,"$4,000 - $5,900 a month","Partner with engineers to ensure that data collection and tracking has been correctly implemented, and that data is being stored correctly.",https://sg.indeed.com/company/99.co/jobs/Data-Analyst-8338fdceb04f3101?fccid=b6dd0ff4518e026b&vjs=3
Data Analyst,FairPrice,Singapore,Posted3 days ago,2022-05-18,,"Drive transformation within the organization towards data driven decision making.
Be a steward of good data practices - robust documentation, process and…",https://sg.indeed.com/rc/clk?jk=7c933714ef29b6fe&fccid=38a20307b3a61541&vjs=3
Data Analyst,PAZZION Group,Remote in Singapore,EmployerActive 5 days ago,2022-05-18,"$3,000 - $5,000 a month","The scope of work involves data mining, data analytics and interactions with cross functional teams and stakeholders from E-commerce, Retail, CRM and Customer…",https://sg.indeed.com/company/Pazzion-Group/jobs/Data-Analyst-315a11aebd9bacb9?fccid=ae2f16685a553027&vjs=3
Junior Data Analyst (Changi),Bhavyam infotech,Singapore,Hiring ongoing,2022-05-18,"$3,500 - $4,300 a month","End to end data science workflow, starting from data extraction, wrangling, modelling and deployment in production environment.
Job Types: Full-time, Contract.",https://sg.indeed.com/company/Bhavyam-Infotech/jobs/Junior-Data-Analyst-61515943bd8989e8?fccid=16600ca778779fce&vjs=3
Data Analyst / Data Entry,UNITED SOIL ENGINEERING,Singapore,Posted13 days ago,2022-05-18,"$2,500 - $3,500 a month","Ability to perform repetitive tasks with a high degree of accuracy.
Knowledge of MS Excel is a must.",https://sg.indeed.com/rc/clk?jk=4d60ef5afdf8f8a9&fccid=801762965f0c0d9e&vjs=3
Data Analyst - Government Agency,InfoCepts,Singapore,EmployerActive 2 days ago,2022-05-18,"$4,000 - $5,500 a month","A successful data analyst needs to have a combination of technical as well leadership skills.
Developing and maintaining databases, data systems – reorganizing…",https://sg.indeed.com/company/Infocepts/jobs/Data-Analyst-b57ad45289f52358?fccid=da655a94854ccb98&vjs=3
"Data Analyst Intern, Growth",TikTok,Singapore,Posted28 days ago,2022-05-18,,"Experience in data analysis, visualization and reporting;
Experience in data manipulation with SQL, Python or other programming-languages/tools;",https://sg.indeed.com/rc/clk?jk=28c2ae0ef846f6f1&fccid=caed318a9335aac0&vjs=3
Data Analyst,Williams Sonoma,Singapore,PostedJust posted,2022-05-18,,"Acquire data from primary or secondary data sources and maintain good data in our database systems.
At least 3 years of working experience as a data analyst.",https://sg.indeed.com/rc/clk?jk=46b6802e691d00f6&fccid=cdd85c4d445cce0f&vjs=3
Data Analyst,Thinkartha Asia Pte ltd,Temporarily Remote in Singapore,Posted1 day ago,2022-05-18,"$3,000 - $3,500 a month","Identifying patterns and trends in data sets.
Defining new data collection and analysis processes.
Follow the Data Management operating model setup within the…",https://sg.indeed.com/company/Thinkartha-Asia-Pte-ltd/jobs/Data-Analyst-dfee5c4a9b7f3081?fccid=eb247ec8f115b3a2&vjs=3
Data Analyst,IWS Intelligent Workflow Solutions Pte Ltd,Remote in Bukit Merah,EmployerActive 5 days ago,2022-05-18,"$40,000 a year","Proven working experience (1-2 years) as data analyst.
Analyse data of company's portfolio and performance statistics.
Knowledge in Python and SQL.",https://sg.indeed.com/company/IWS-Intelligent-Workflow-Solutions-Pte-Ltd/jobs/Data-Analyst-b3a330c5c955009e?fccid=60e3958888e08b6f&vjs=3
Freelance Map Data Analyst - - English (Singapore),Welocalize,Remote in Singapore,EmployerActive 5 days ago,2022-05-18,$8 - $10 an hour,"Welocalize is looking for *English* (Singapore) speakers based in *Singapore *as a remote freelance *Maps Quality Rater*.
BONUS: *Sign Up Bonus Available!",https://sg.indeed.com/company/Welocalize/jobs/Freelance-Map-Data-Analyst-74662b51d27a7498?fccid=df1902aedef637ff&vjs=3
Data Analyst,TikTok,Singapore,Posted30+ days ago,2022-05-18,,"Experience in data analysis of Internet companies is preferred.
Analyze business data in different markets, formulate targeted recommendation strategies, and…",https://sg.indeed.com/rc/clk?jk=e5e9758128f6c4f0&fccid=caed318a9335aac0&vjs=3
Data Analyst Intern,STACS,Singapore,Posted30+ days ago,2022-05-18,,The intern can expect to learn how to use the latest tools to perform data cleaning and data analytics for the sustainable industry.,https://sg.indeed.com/rc/clk?jk=2e50a030156c9593&fccid=e7988f01495311ea&vjs=3
Data Analyst,Pratt & Whitney,Singapore,Posted30+ days ago,2022-05-18,,"Fresh graduates with keen interests in big data and data analytics are welcome to apply.
Create data visualization and use data analytics to make better, faster…",https://sg.indeed.com/rc/clk?jk=f17d5fff4384cb5a&fccid=54fab6b8f8edafb5&vjs=3
"Intern, Business Intelligence, Data Analyst (AquaEasy)",Bosch Group,Singapore,Posted25 days ago,2022-05-18,,"Experience in data engineering and data science.
Conduct data collection, transformation and analysis using data visualization software.",https://sg.indeed.com/rc/clk?jk=5b352ca853e32b72&fccid=a2faf1301ac6ad4b&vjs=3
Data Analyst,AAX Singapore Private Limited,Singapore+1 location,EmployerActive 1 day ago,2022-05-18,"$6,000 - $10,000 a month","Identify data sources and data requirements of the team, analyzing datasets and derive insights.
Responsible for developing, maintaining and extracting…",https://sg.indeed.com/company/Aax-Singapore-Private-Limited/jobs/Data-Analyst-a30dc161427a488c?fccid=f6df618582b1e94f&vjs=3
Data Entry Analyst - Contract (2-3 months),TIBCO Software,Singapore,Posted6 days ago,2022-05-18,"$2,000 a month","Working with our Senior Sales Operations Director, we are looking for two individuals to provide data entry / data cleansing support for our Salesforce project.",https://sg.indeed.com/rc/clk?jk=336274e5852ac443&fccid=53242361973750f7&vjs=3
Data Analyst,Kopitiam Investment Pte Ltd,Singapore+1 location,Posted10 days ago,2022-05-18,,"Experience in analyzing data and automating complex data handling through SQL, Python and/or R.
Gather data from internal and external systems; clean, update,…",https://sg.indeed.com/rc/clk?jk=9062486804a6a063&fccid=c91a48c6f3839e53&vjs=3
SMS Data Analyst,Sanofi,Singapore,Posted9 days ago,2022-05-18,,"Conducts data analysis, data visualization to exploit full potential for improvement coming from digital product and data gathered and structured.",https://sg.indeed.com/rc/clk?jk=16b061c8bae1f4be&fccid=5d3ed74ca4598964&vjs=3
Data Analyst,NE Digital,Singapore,Posted5 days ago,2022-05-18,,"You will support the discovery of business opportunities by using data.
Gather and process data on core business processes and workflows.",https://sg.indeed.com/rc/clk?jk=26ae6423c30afb18&fccid=7cf87f932afc64bc&vjs=3
Data Reporting Analyst,TECHKNOWLEDGEY PTE. LTD.,Singapore,Posted1 day ago,2022-05-18,"$4,000 - $5,500 a month",Support strategic marketing initiatives/projects from providing requirements and business analytics data support to completion and successful delivery and…,https://sg.indeed.com/rc/clk?jk=696778e13e5f4455&fccid=d237dd1321f44b0b&vjs=3
